ID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Reference,Flaechengewicht (kg/m2),Density (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil,GWPtotal
e51d7fbe-3abf-4b82-be50-13b10acd2a81,Synwer® ? Syn Sd 2/100,'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre','EN 15804+A2' / 'ISO 14025',DE,Synwer GmbH,EPD-Synwer-230-EN,1,qm,0.1,,0.00057,,,,,0.301,,0.00852,0.199,,,,,,,,,,0.0,0.00203,0.257,0.0,-0.0182405,0.78554,0.76755
d132ea77-3d77-41bc-a6b5-4504a1a60748,Synwer® ? Syn Sd 20/100,'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre','EN 15804+A2' / 'ISO 14025',DE,Synwer GmbH,EPD-Synwer-231-EN,1,qm,0.1,,0.00042,,,,,0.301,,0.00852,0.199,,,,,,,,,,0.0,0.00203,0.257,0.0,-0.0182405,0.78554,0.76755
d3a7f5a2-ce1a-416e-ac24-8c4e36ce7c78,Synwer® ? Syn Sd variabel 100,'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre','EN 15804+A2' / 'ISO 14025',DE,Synwer GmbH,EPD-Synwer-228-EN,1,qm,0.1,,0.0003,,,,,0.77,,0.00393,0.226,,,,,,,,,,0.0,0.00203,0.214,0.0,-0.0068824,1.22195,1.21596
4af19f87-7019-470a-9663-8c0eff0f3c73,Synwer® ? Syn Sd variabel 150,'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre','EN 15804+A2' / 'ISO 14025',DE,Synwer GmbH,EPD-Synwer-229-EN,1,qm,0.15,,0.00078,,,,,1.33,,0.00938,0.279,,,,,,,,,,0.0,0.00304,0.37,0.0,-0.0015867,1.98741,1.99142
c434e6ef-ab4a-4832-9741-bc698196c993,Synwer® ? Syn U 120 Sd 2,'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre','EN 15804+A2' / 'ISO 14025',DE,Synwer GmbH,EPD-Synwer-234-EN,1,qm,0.12,,0.000585,,,,,0.354,,0.0103,0.201,,,,,,,,,,0.0,0.00243,0.308,0.0,-0.0188666,0.89473,0.87573
87b946da-529b-4a87-8cb1-230572854048,TECNIRAPID,'Mineralische Baustoffe' / 'Bindemittel' / 'Zement','EN 15804+A2' / 'ISO 14025',IT,Miniera San Romedio Srl,EPD-Kiwa-EE-329-EN,1000,kg,,2250.0,,,,,,,265.0,,,,,,,,,,,,7.62,1.37,1.73,-21.0,2.75417,251.66,254.72
336a04d8-07f0-4209-bb23-c35c1a077ab7,THERMATEX Acoustic,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20210053-IBC1-DE,1,qm,4.31,4.31,,,,,,,5.08,,,,,,,,,,,,0.0,0.013,0.0,0.603,-0.0260215,5.7183,5.696
f1e5357e-e6b3-4af1-95db-940d5438a949,"THERMATEX Acoustic Medical, THERMATEX Acoustic",'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',CN,Australian Mineral Fibre (AMF) Pty Ltd,EPD-AUS-20230066-IAC1-EN,1,qm,5.53,,0.019,,,,,,6.3876366,,,,,,,,,,,,0.0,0.0173279,0.0,0.9705521,0.0402829,7.3334319,7.3755167
0dbe6d26-f0e6-4abf-a7f4-e36198257190,THERMATEX Basic & Standard,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20210052-IBC1-DE,1,qm,3.35,,15.5,,,,,,4.49,,,,,,,,,,,,0.0,0.0101,0.0,0.559,-1.67e-05,5.0608,5.0591
5c536009-b0a8-4539-86c2-c3b8247f7f1a,TILLY solid wood panel,'Holz' / 'Vollholz' / 'Brettschichtholzplatte','DIN EN 15804+A2' / 'ISO 14025',AT,Tilly Holzindustrie Gesellschaft m.b.H,EPD-TIL-20230209-IBC2-DE,1,m3,10.4,473.0,,,,,,,-664.2536736,,,,,,,,,,,,0.0,1.4325692,786.6063154,0.0,4.9841361,118.4935361,123.785211
