Category,Name,ID,Density (kg/m3),Reference,UBP (Total),UBP (Manufacturing),UBP (Disposal),Total Renewable Primary Energy [kWh oil-eq], Manufacturing Renewable Primary Energy [kWh oil-eq],Disposal Renewable Primary Energy [kWh oil-eq],Total Non-Renewable Primary Energy [kWh oil-eq],Manufacturing Non-Renewable Primary Energy [kWh oil-eq],Disposal Non-Renewable Primary Energy [kWh oil-eq],Global Warming Potential Total [kgCO2-eqv],Global Warming Potential Manufacturing [kgCO2-eqv],Global Warming Potential Disposal [kgCO2-eqv],Biogenic Carbon [kg C]
Wärmedämmstoffe,Weichfaserplatte,10.009,147.5,kg,1400,1180,227,7.11,7.1,0.0126,3.42,3.27,0.151,0.725,0.633,0.0921,0.436
Wärmedämmstoffe,Zellulosefasern,10.01,47,kg,556,395,161,0.259,0.245,0.0137,1.05,0.882,0.165,0.28,0.209,0.0709,0.404
Wärmedämmstoffe,"Zellulosefasern, Isofloc",10.010.01,47,kg,470,309,161,0.24,0.226,0.0137,0.848,0.683,0.165,0.233,0.163,0.0709,0.404
Bodenbeläge,"2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",11.001,,qm,41700,33500,8240,1.55,1.47,0.0816,65.1,62.8,2.26,18.4,11.1,7.24,0
Bodenbeläge,"2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",11.002,,qm,25800,21300,4540,2.07,2.01,0.0613,62,60.5,1.45,13.9,10,3.87,0
Bodenbeläge,"Gummigranulat versiegelt, 7.5 mm",11.003,,qm,38800,25400,13400,2.56,2.41,0.14,113,110,2.73,26.8,14.9,11.9,0
Bodenbeläge,"Gussasphalt, 27.5 mm",11.004,,qm,33700,24600,9070,3.44,3.28,0.155,126,120,5.4,15.9,14.7,1.22,0
Bodenbeläge,"Hartbeton einschichtig, 27.5 mm",11.005,,qm,26600,24100,2460,2.32,2.19,0.127,46.6,43.5,3.04,16.4,15.7,0.733,0
Bodenbeläge,"Hartbeton zweischichtig, 35 mm",11.006,,qm,27200,24100,3120,2.35,2.19,0.162,41.8,37.9,3.87,16.4,15.4,0.932,0
Bodenbeläge,"Kautschuk, 2 mm",11.007,,qm,24200,20400,3750,9.91,9.85,0.0665,60.8,59.8,0.925,14.1,11,3.19,0
Bodenbeläge,"Keramik-/Steinzeugplatte, 9 mm",11.008,,qm,86800,73100,13800,4.49,3.77,0.715,83.1,66,17,18.2,14,4.11,0
Bodenbeläge,"Kork Fertigparkett, 10.5 mm",11.009,,qm,15500,13400,2130,39.2,39.1,0.1,45.2,43.8,1.36,9.07,7.77,1.3,2.73
Bodenbeläge,"Kork PVC-beschichtet, 3.2 mm",11.01,,qm,12000,7890,4060,8.39,8.29,0.0971,34.7,33.3,1.43,8.28,4.75,3.52,0.604
Bodenbeläge,"Korkparkett geölt/versiegelt, 5.3 mm",11.011,,qm,5970,3830,2130,12.3,12.2,0.1,12.1,10.7,1.36,3.26,1.96,1.3,0.921
Bodenbeläge,"Kunststeinplatte zementgebunden, 10 mm",11.012,,qm,25700,6100,19600,1.78,0.762,1.02,30.4,6.04,24.3,10.4,4.51,5.86,0
Bodenbeläge,"Laminat, 8.5 mm",11.013,,qm,16600,13600,2970,38.3,38.2,0.108,42.7,41.3,1.45,10.4,8.1,2.3,2.42
Bodenbeläge,"Linoleum, 2.5 mm",11.014,,qm,15800,15100,728,19.3,19.3,0.0362,26.3,25.9,0.437,6.36,5.84,0.516,0.786
Bodenbeläge,"Natursteinplatte geschliffen, 15 mm",11.015,,qm,41900,40200,1720,19.8,19.7,0.0893,118,116,2.13,16.8,16.3,0.514,0
Bodenbeläge,"Natursteinplatte geschliffen, Europa, 15 mm",11.015.01,,qm,40700,39000,1720,19.9,19.8,0.0893,117,115,2.13,16.6,16.1,0.514,0
Bodenbeläge,"Natursteinplatte geschliffen, Schweiz, 15 mm",11.015.02,,qm,34800,33100,1720,19.2,19.1,0.0893,104,102,2.13,13.4,12.8,0.514,0
Bodenbeläge,"Natursteinplatte geschliffen, Übersee, 15 mm",11.015.03,,qm,44500,42800,1720,19.9,19.8,0.0893,122,120,2.13,17.9,17.4,0.514,0
Bodenbeläge,"Natursteinplatte geschnitten, 15 mm",11.016,,qm,32000,30200,1720,13.5,13.4,0.0893,87.6,85.5,2.13,13.4,12.9,0.514,0
Bodenbeläge,"Natursteinplatte poliert, 15 mm",11.017,,qm,69700,68000,1720,25.2,25.1,0.0893,144,142,2.13,19.6,19.1,0.514,0
Bodenbeläge,"Parkett 2-Schicht werkversiegelt, 11 mm",11.018,,qm,16100,15600,490,87.7,87.6,0.0376,42.3,41.7,0.563,7.8,7.47,0.337,2.69
Bodenbeläge,"Parkett 3-Schicht werkversiegelt, 15 mm",11.019,,qm,18100,17500,635,145,145,0.0487,40.3,39.6,0.729,8.09,7.65,0.437,3.54
Bodenbeläge,"Parkett Mosaik werkversiegelt, 8 mm",11.02,,qm,9020,8670,352,90,89.9,0.0343,23.3,22.8,0.497,3.57,3.35,0.218,2.23
Bodenbeläge,"PVC homogen, 2 mm",11.021,,qm,20600,13500,7140,2.29,1.98,0.303,58.2,55,3.19,14.4,8.16,6.22,0
Bodenbeläge,"Steinholz versiegelt, 16.5 mm",11.022,,qm,16400,15400,935,0.99,0.942,0.0485,25.1,24,1.16,12.9,12.7,0.279,0
Bodenbeläge,"Synthetische thermoplastische Beläge (TPO), 2 mm",11.023,,qm,20000,9510,10400,3.22,3.19,0.0303,43.3,42.6,0.638,16,5.87,10.1,0
Bodenbeläge,Teppich Kunstfaser getuftet,11.024,,qm,21100,14700,6470,0.6,0.582,0.0187,50,49.6,0.394,16.7,10.5,6.25,0
Bodenbeläge,Teppich Nadelfilz,11.025,,qm,12700,8700,4010,0.615,0.604,0.0116,34.3,34,0.244,9.84,5.98,3.87,0
Bodenbeläge,Teppich Naturfaser,11.026,,qm,15300,13200,2070,10.9,10.9,0.0241,15.5,15.1,0.414,5.08,3.22,1.85,1.01
Bodenbeläge,"Terrazzo versiegelt, 40 mm",11.027,,qm,28100,24100,4040,4.23,4.02,0.21,40.5,35.6,5,17.3,16.1,1.21,0
Türen,"Aussentüre, Aluminium, Glaseinsatz",12.005,,qm,394000,377000,17300,118,117,0.49,911,906,5.34,216,201,14.8,0
Türen,"Aussentüre, Aluminium, Paneelfüllung",12.006,,qm,385000,374000,10500,143,142,0.0263,837,836,0.792,192,182,10,0
Türen,"Aussentüre, Holz",12.008,,qm,125000,116000,9270,283,283,0.14,265,261,4.17,62.2,54.6,7.64,15.5
Türen,"Aussentüre, Holz, aluminiumbeplankt",12.001,,qm,231000,222000,9270,329,329,0.14,505,501,4.17,116,108,7.64,15.5
Türen,"Aussentüre, Holz, Glaseinsatz",12.002,,qm,161000,148000,12100,247,247,0.321,359,352,6.31,85.7,76,9.7,13
Türen,"Innentüre, Aluminium, Glaseinsatz",12.007,,qm,316000,305000,10500,104,104,0.339,722,719,3.6,166,157,8.71,0
Türen,"Innentüre, Funktionstüre, Holz, Holzrahmen",12.009,,qm,87800,79300,8530,280,280,0.181,190,185,4.87,44.3,37.4,6.86,17.3
Türen,"Innentüre, Funktionstüre, Holz, Stahlzarge",12.012,,qm,181000,173000,7920,232,232,0.173,357,352,4.35,96.8,90.4,6.46,13.7
Türen,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Holzrahmen",12.004,,qm,109000,99800,8890,201,200,0.279,255,249,5.24,59.7,52.8,6.92,11
Türen,"Innentüre, Zimmertüre, Holz, Glaseinsatz, Stahlzarge",12.011,,qm,202000,193000,8270,153,153,0.271,421,416,4.71,112,106,6.53,7.46
Türen,"Innentüre, Zimmertüre, Holz, Holzrahmen",12.003,,qm,64500,57800,6700,206,206,0.125,141,137,3.44,32.3,26.9,5.39,12.4
Türen,"Innentüre, Zimmertüre, Holz, Stahlzarge",12.01,,qm,158000,151000,6090,159,158,0.117,307,304,2.92,84.8,79.9,5,8.83
Rohre,Acrylnitril-Butadien-Styrol (ABS),13.001,1050,kg,9770,6790,2980,0.437,0.416,0.0213,30,29.2,0.739,7.67,4.92,2.75,0
Rohre,Gusseisen,13.005,7850,kg,5670,5660,11.1,0.279,0.279,0.000582,5.48,5.45,0.0272,2.09,2.09,0.00693,0
Rohre,Polyethylen (PE),13.002,960,kg,6020,3570,2450,0.544,0.53,0.0143,23.2,23,0.209,4.75,2.38,2.37,0
Rohre,Polypropylen (PP),13.003,910,kg,6050,3600,2450,0.428,0.413,0.0143,22.7,22.5,0.209,4.78,2.4,2.37,0
Rohre,Polyvinylchlorid (PVC),13.004,1390,kg,6240,3880,2370,0.646,0.543,0.103,19.5,18.4,1.1,4.49,2.38,2.1,0
"Anstrichstoffe, Beschichtungen","Anstrich, lösemittelverdünnbar, 2 Anstriche",14.002,,qm,2260,2190,70.7,0.452,0.451,0.000674,6.57,6.55,0.0167,0.975,0.919,0.0562,0
"Anstrichstoffe, Beschichtungen","Anstrich, wasserverdünnbar, 2 Anstriche",14.001,,qm,1220,1150,70.7,0.143,0.143,0.000674,4.17,4.15,0.0167,0.701,0.645,0.0562,0
"Anstrichstoffe, Beschichtungen","Bitumenemulsion, 1 Anstrich",14.003,,qm,428,369,59,0.0173,0.0167,0.000562,1.85,1.84,0.014,0.181,0.134,0.0468,0
"Anstrichstoffe, Beschichtungen","Emaillieren, Metall",14.004,,qm,16400,16400,0,4.16,4.16,0,43.5,43.5,0,8.11,8.11,0,0
"Anstrichstoffe, Beschichtungen","Pulverbeschichten, Aluminium",14.005,,qm,6260,6260,0,0.599,0.599,0,16.6,16.6,0,3.64,3.64,0,0
"Anstrichstoffe, Beschichtungen","Pulverbeschichten, Stahl",14.006,,qm,6760,6760,0,0.721,0.721,0,21.1,21.1,0,4.38,4.38,0,0
"Anstrichstoffe, Beschichtungen","Verchromen, Stahl",14.007,,qm,6320,6320,0,0.876,0.876,0,4.45,4.45,0,0.609,0.609,0,0
"Anstrichstoffe, Beschichtungen","Verzinken, Stahl",14.008,,qm,29500,29500,0,2.65,2.65,0,25.5,25.5,0,6.09,6.09,0,0
Kunststoffe,"Plexiglas (PMMA, Acrylglas)",15.001,1180,kg,14800,11700,3090,0.385,0.371,0.0137,40.2,40,0.21,11.6,8.68,2.92,0
Kunststoffe,Polyamid (PA) glasfaserverstärkt,15.002,1360,kg,15200,12300,2910,0.999,0.979,0.0198,40.3,39.6,0.687,11.5,8.89,2.62,0
Kunststoffe,Polycarbonat (PC),15.003,1200,kg,15900,12800,3090,0.426,0.412,0.0137,31.8,31.6,0.21,11.4,8.49,2.92,0
Kunststoffe,Polyester (UP) glasfaserverstärkt,15.004,1500,kg,13800,10700,3090,1.51,1.5,0.0137,31.3,31.1,0.21,9.84,6.92,2.92,0
Kunststoffe,Polystyrol (PS),15.005,1050,kg,8170,4880,3280,0.111,0.0971,0.0135,24.6,24.4,0.208,6.72,3.64,3.08,0
