GlobalId,Name,Entity,ObjectType,Length [m],Length Source,Largest Surface Area [m^2],Area Source,Volume [m^3],Volume Source
13BebK6Cr9FfRZpp2$a1A$,Basic Wall:Innenwandelement Archisonic ohne MDF:7646387,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.3764,(P1) IFC Quantities,0.3235,(P1) IFC Quantities,0.0039,(P1) IFC Quantities
13BebK6Cr9FfRZpp2$a1CS,Basic Wall:Innenwandelement Archisonic ohne MDF:7646480,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.77,(P1) IFC Quantities,0.416,(P1) IFC Quantities,0.005,(P1) IFC Quantities
13BebK6Cr9FfRZpp2$a1Cr,Basic Wall:Innenwandelement Archisonic ohne MDF:7646521,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.3791,(P1) IFC Quantities,0.3241,(P1) IFC Quantities,0.0039,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCBh,Basic Wall:Innenwandelement Archisonic ohne MDF:7648899,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,0.59,(P1) IFC Quantities,1.2974,(P1) IFC Quantities,0.0156,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCB0,Basic Wall:Innenwandelement Archisonic ohne MDF:7648936,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,0.4524,(P1) IFC Quantities,0.9948,(P1) IFC Quantities,0.0119,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCmX,Basic Wall:Innenwandelement Archisonic ohne MDF:7649353,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,0.59,(P1) IFC Quantities,1.2974,(P1) IFC Quantities,0.0156,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCmr,Basic Wall:Innenwandelement Archisonic ohne MDF:7649373,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,0.59,(P1) IFC Quantities,1.2974,(P1) IFC Quantities,0.0156,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCtS,Basic Wall:Innenwandelement Archisonic ohne MDF:7649716,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.6309,(P1) IFC Quantities,0.3833,(P1) IFC Quantities,0.0046,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCvl,Basic Wall:Innenwandelement Archisonic ohne MDF:7649799,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.7708,(P1) IFC Quantities,0.4161,(P1) IFC Quantities,0.005,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCv5,Basic Wall:Innenwandelement Archisonic ohne MDF:7649837,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.6375,(P1) IFC Quantities,0.3848,(P1) IFC Quantities,0.0046,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGCyE,Basic Wall:Innenwandelement Archisonic ohne MDF:7650150,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.1956,(P1) IFC Quantities,0.2798,(P1) IFC Quantities,0.0034,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGBGc,Basic Wall:Innenwandelement Archisonic ohne MDF:7651406,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.77,(P1) IFC Quantities,0.416,(P1) IFC Quantities,0.005,(P1) IFC Quantities
3a_AAgCiPC4Pn3ptZJGBGp,Basic Wall:Innenwandelement Archisonic ohne MDF:7651419,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,1.2058,(P1) IFC Quantities,0.2826,(P1) IFC Quantities,0.0034,(P1) IFC Quantities
2U_SbA7mrDuxzKn2plryA2,Basic Wall:Innenwandelement Archisonic ohne MDF:7870278,IfcWallStandardCase,Basic Wall:Innenwandelement Archisonic ohne MDF,0.206,(P1) IFC Quantities,0.3906,(P1) IFC Quantities,0.0047,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWGr_,Basic Wall:KVH Balken 120mm:6158104,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,0.544,(P1) IFC Quantities,0.1093,(P1) IFC Quantities,0.013,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWGqn,Basic Wall:KVH Balken 120mm:6158167,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,4.7416,(P1) IFC Quantities,0.9155,(P1) IFC Quantities,0.109,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWGqP,Basic Wall:KVH Balken 120mm:6158207,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,6.0613,(P1) IFC Quantities,1.1717,(P1) IFC Quantities,0.1394,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWGtn,Basic Wall:KVH Balken 120mm:6158231,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,0.649,(P1) IFC Quantities,0.1395,(P1) IFC Quantities,0.0167,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWG14,Basic Wall:KVH Balken 120mm:6158882,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,0.489,(P1) IFC Quantities,0.0858,(P1) IFC Quantities,0.0101,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWG0B,Basic Wall:KVH Balken 120mm:6158957,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,5.1286,(P1) IFC Quantities,0.8906,(P1) IFC Quantities,0.1059,(P1) IFC Quantities
3nlkwm3Tz5su3_fDVkWG3w,Basic Wall:KVH Balken 120mm:6159004,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,0.537,(P1) IFC Quantities,0.0945,(P1) IFC Quantities,0.0113,(P1) IFC Quantities
1WST_1fz92Dwy3nf8LgI_9,Basic Wall:KVH Balken 120mm:6159751,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,1.0878,(P1) IFC Quantities,0.249,(P1) IFC Quantities,0.0283,(P1) IFC Quantities
1WST_1fz92Dwy3nf8LgI__,Basic Wall:KVH Balken 120mm:6159792,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,17.8583,(P1) IFC Quantities,4.0781,(P1) IFC Quantities,0.4836,(P1) IFC Quantities
1WST_1fz92Dwy3nf8LgI$l,Basic Wall:KVH Balken 120mm:6159841,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,5.9734,(P1) IFC Quantities,1.3677,(P1) IFC Quantities,0.1621,(P1) IFC Quantities
1WST_1fz92Dwy3nf8LgIm1,Basic Wall:KVH Balken 120mm:6159887,IfcWallStandardCase,Basic Wall:KVH Balken 120mm,0.863,(P1) IFC Quantities,0.2054,(P1) IFC Quantities,0.023,(P1) IFC Quantities
3ZnJlnBePBXQGgUrEPS3ek,Basic Wall:Massivholz 24mm:6301160,IfcWallStandardCase,Basic Wall:Massivholz 24mm,0.14,(P1) IFC Quantities,0.378,(P1) IFC Quantities,0.0091,(P1) IFC Quantities
0q_B6yKyHAc90W5qxV7LTY,Basic Wall:Massivholz 24mm:6616562,IfcWallStandardCase,Basic Wall:Massivholz 24mm,0.075,(P1) IFC Quantities,0.2025,(P1) IFC Quantities,0.0049,(P1) IFC Quantities
0q_B6yKyHAc90W5qxV7LNQ,Basic Wall:Massivholz 24mm:6616906,IfcWallStandardCase,Basic Wall:Massivholz 24mm,0.075,(P1) IFC Quantities,0.2025,(P1) IFC Quantities,0.0049,(P1) IFC Quantities
0q_B6yKyHAc90W5qxV7LfL,Basic Wall:Massivholz 24mm:6617285,IfcWallStandardCase,Basic Wall:Massivholz 24mm,0.0778,(P1) IFC Quantities,0.1718,(P1) IFC Quantities,0.0042,(P1) IFC Quantities
2B05zKZrTDzh8p$jP05$W4,Basic Wall:Purenit Fusspunkt:6169888,IfcWall,Basic Wall:Purenit Fusspunkt,5.76,(P2) Bounding Box Length,1.6704,(P2) Bounding Box Surface,0.0331,(P2) COMPAS Brep
2B05zKZrTDzh8p$jP05$Yt,Basic Wall:Purenit Fusspunkt:6170003,IfcWall,Basic Wall:Purenit Fusspunkt,5.4,(P2) Bounding Box Length,1.566,(P2) Bounding Box Surface,0.0393,(P2) COMPAS Brep
2B05zKZrTDzh8p$jP05$Zd,Basic Wall:Purenit Fusspunkt:6170051,IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,0.135,(P1) IFC Quantities,0.0729,(P1) IFC Quantities,0.0018,(P1) IFC Quantities
2B05zKZrTDzh8p$jP05$kl,Basic Wall:Purenit Fusspunkt:6170251,IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,0.539,(P1) IFC Quantities,0.2578,(P1) IFC Quantities,0.0064,(P1) IFC Quantities
2B05zKZrTDzh8p$jP05$lN,Basic Wall:Purenit Fusspunkt:6170355,IfcWall,Basic Wall:Purenit Fusspunkt,4.66,(P2) Bounding Box Length,1.2116,(P2) Bounding Box Surface,0.0278,(P2) COMPAS Brep
2B05zKZrTDzh8p$jP05$ht,Basic Wall:Purenit Fusspunkt:6170579,IfcWall,Basic Wall:Purenit Fusspunkt,6.17,(P2) Bounding Box Length,1.6042,(P2) Bounding Box Surface,0.0404,(P2) COMPAS Brep
2B05zKZrTDzh8p$jP05$LH,Basic Wall:Purenit Fusspunkt:6170741,IfcWall,Basic Wall:Purenit Fusspunkt,5.7,(P2) Bounding Box Length,1.539,(P2) Bounding Box Surface,0.0359,(P2) COMPAS Brep
1$KMX8uXrBQOoeIqjKVG2C,Basic Wall:Purenit Fusspunkt:6594408,IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,1.0089,(P1) IFC Quantities,0.3279,(P1) IFC Quantities,0.0082,(P1) IFC Quantities
03JUWTKzzEwPfGooy5DOUA,Basic Wall:Purenit Fusspunkt:6706722,IfcWallStandardCase,Basic Wall:Purenit Fusspunkt,0.9682,(P1) IFC Quantities,0.2856,(P1) IFC Quantities,0.0071,(P1) IFC Quantities
3PSzbSor5DzehfFtR_jjzA,Basic Wall:PV Fassade Terasse:687807,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,1.22,(P1) IFC Quantities,3.5136,(P1) IFC Quantities,0.0281,(P1) IFC Quantities
15AkS9wsD5ThACA_oibwpG,Basic Wall:PV Fassade Terasse:7162278,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,1.22,(P1) IFC Quantities,3.9223,(P1) IFC Quantities,0.0314,(P1) IFC Quantities
15AkS9wsD5ThACA_oibwy7,Basic Wall:PV Fassade Terasse:7162481,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,1.22,(P1) IFC Quantities,3.5136,(P1) IFC Quantities,0.0281,(P1) IFC Quantities
15AkS9wsD5ThACA_oibw_Z,Basic Wall:PV Fassade Terasse:7162581,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,1.22,(P1) IFC Quantities,3.5136,(P1) IFC Quantities,0.0281,(P1) IFC Quantities
2JivT8DWj8oO544PQjGtfK,Basic Wall:PV Fassade Terasse:7421529,IfcWallStandardCase,Basic Wall:PV Fassade Terasse,1.22,(P1) IFC Quantities,3.9223,(P1) IFC Quantities,0.0314,(P1) IFC Quantities
1dVujdEGf0jAkYJBqtyZ1W,Basic Wall:Technikschnittstelle:6225020,IfcWall,Basic Wall:Technikschnittstelle,3.55,(P2) Bounding Box Length,5.2895,(P2) Bounding Box Surface,0.1317,(P2) COMPAS Brep
0XxTIRndPDswCFuTTPaYID,Basic Wall:Wärmedämmung_200:1434709,IfcWallStandardCase,Basic Wall:Wärmedämmung_200,0.949,(P1) IFC Quantities,1.5226,(P1) IFC Quantities,0.2968,(P1) IFC Quantities
0$2d2jMlLADusJGYiNIiGe,Basic Wall:Wärmedämmung_200:2262063,IfcWallStandardCase,Basic Wall:Wärmedämmung_200,5.1589,(P1) IFC Quantities,7.1096,(P1) IFC Quantities,1.4165,(P1) IFC Quantities
1kZvvMSEz0183XYJuuauTc,Basic Wall:Wärmedämmung_200:2906772,IfcWallStandardCase,Basic Wall:Wärmedämmung_200,0.7771,(P1) IFC Quantities,1.221,(P1) IFC Quantities,0.2317,(P1) IFC Quantities
3Fdt9Q9U97AQifeWSw8yZF,Basic Wall:Wärmedämmung_200:5056218,IfcWall,Basic Wall:Wärmedämmung_200,2.94,(P2) Bounding Box Length,1.7934,(P2) Bounding Box Surface,0.3534,(P2) COMPAS Brep
3A1rMwwML4sQEB7Dll39b5,Basic Wall:Wärmedämmung_200:5247902,IfcWall,Basic Wall:Wärmedämmung_200,5.08,(P2) Bounding Box Length,17.272,(P2) Bounding Box Surface,3.3529,(P2) COMPAS Brep
3PSzbSor5DzehfFtR_jjmG,Basic Wall:Wärmedämmung_200:687589,IfcWall,Basic Wall:Wärmedämmung_200,6.24,(P2) Bounding Box Length,18.408,(P2) Bounding Box Surface,2.0857,(P2) COMPAS Brep
3PSzbSor5DzehfFtR_jjm4,Basic Wall:Wärmedämmung_200:687601,IfcWall,Basic Wall:Wärmedämmung_200,5.46,(P2) Bounding Box Length,17.2536,(P2) Bounding Box Surface,1.5849,(P2) COMPAS Brep
2gXJHplM169PSBlXqlAwoV,Basic Wall:Wärmedämmung_200:725935,IfcWall,Basic Wall:Wärmedämmung_200,5.61,(P2) Bounding Box Length,17.6715,(P2) Bounding Box Surface,3.4197,(P2) COMPAS Brep
2gXJHplM169PSBlXqlAwef,Basic Wall:Wärmedämmung_200:726297,IfcWallStandardCase,Basic Wall:Wärmedämmung_200,5.6625,(P1) IFC Quantities,9.5618,(P1) IFC Quantities,1.905,(P1) IFC Quantities
2ocvUPn$jAgQqQEpOYE8_s,Basic Wall:Wärmedämmung_200:882225,IfcWall,Basic Wall:Wärmedämmung_200,4.44,(P2) Bounding Box Length,13.0536,(P2) Bounding Box Surface,2.5552,(P2) COMPAS Brep
0YWQUbZyv37PGtSZXywZ22,Basic Wall:Wärmedämmung_Mineralwolle_130:1839774,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_130,3.94,(P2) Bounding Box Length,1.8518,(P2) Bounding Box Surface,0.2216,(P2) COMPAS Brep
0YWQUbZyv37PGtSZXywZ5H,Basic Wall:Wärmedämmung_Mineralwolle_130:1839949,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_130,2.86,(P2) Bounding Box Length,1.3442,(P2) Bounding Box Surface,0.1729,(P2) COMPAS Brep
33h3WSCGjA3hXPqG04f7Cc,Basic Wall:Wärmedämmung_Mineralwolle_130:5438338,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_130,4.0,(P2) Bounding Box Length,1.8,(P2) Bounding Box Surface,0.2278,(P2) COMPAS Brep
33h3WSCGjA3hXPqG04f7IA,Basic Wall:Wärmedämmung_Mineralwolle_130:5438510,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_130,3.865,(P1) IFC Quantities,1.7199,(P1) IFC Quantities,0.2236,(P1) IFC Quantities
33h3WSCGjA3hXPqG04f7HL,Basic Wall:Wärmedämmung_Mineralwolle_130:5438705,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_130,4.46,(P1) IFC Quantities,0.9589,(P1) IFC Quantities,0.1247,(P1) IFC Quantities
0pH4jjjOH6sulyqJY5$RPu,Basic Wall:Wärmedämmung_Mineralwolle_20:4682149,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_20,1.3415,(P1) IFC Quantities,3.7179,(P1) IFC Quantities,0.0742,(P1) IFC Quantities
0pH4jjjOH6sulyqJY5$RO2,Basic Wall:Wärmedämmung_Mineralwolle_20:4682207,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_20,0.61,(P1) IFC Quantities,1.6954,(P1) IFC Quantities,0.0339,(P1) IFC Quantities
08$9xERYLE6RtehkhfI5yK,Basic Wall:Wärmedämmung_Mineralwolle_80:2896771,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_80,0.124,(P1) IFC Quantities,0.3255,(P1) IFC Quantities,0.0244,(P1) IFC Quantities
2OOgpQZObEZwXdl1UXorlb,Basic Wall:Wärmedämmung_Mineralwolle_80:5774682,IfcWall,Basic Wall:Wärmedämmung_Mineralwolle_80,11.77,(P2) Bounding Box Length,13.5355,(P2) Bounding Box Surface,1.0728,(P2) COMPAS Brep
3D$hiogd117g3okR4n43t1,Basic Wall:Wärmedämmung_Mineralwolle_90:5421574,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_90,16.297,(P1) IFC Quantities,7.8226,(P1) IFC Quantities,0.704,(P1) IFC Quantities
3D$hiogd117g3okR4n43sf,Basic Wall:Wärmedämmung_Mineralwolle_90:5421678,IfcWallStandardCase,Basic Wall:Wärmedämmung_Mineralwolle_90,4.689,(P1) IFC Quantities,2.4054,(P1) IFC Quantities,0.216,(P1) IFC Quantities
3PSzbSor5DzehfFtR_jj_6,Basic Wall:Wärmedämmung_Slentex 70:687731,IfcWallStandardCase,Basic Wall:Wärmedämmung_Slentex 70,0.7241,(P1) IFC Quantities,2.2605,(P1) IFC Quantities,0.1582,(P1) IFC Quantities
2lKHuWZur3SwHp3ySgW6UM,Blechabdeckung Brüstung:Blechabdeckung Brüstung:7933804,IfcWall,Blechabdeckung Brüstung:Blechabdeckung Brüstung,18.38,(P2) Bounding Box Length,117.2644,(P2) Bounding Box Surface,0.0221,(P2) COMPAS Brep
1GYJkCWSXDPAizLcwxbAKl,Bleche Fassade_V6:Bleche Fassade_V6:4910201,IfcBuildingElementProxy,Bleche Fassade_V6:Bleche Fassade_V6,16.62,(P2) Bounding Box Length,118.833,(P2) Bounding Box Surface,0.0646,(P2) COMPAS Brep
3WNoAUw3v8hfBwz_zVQKXI,BSH Stütze - rechteckig:BSH 140 x 140:5646328,IfcColumn,BSH Stütze - rechteckig:BSH 140 x 140,2.74,(P2) Bounding Box Length,0.3836,(P2) Bounding Box Surface,0.0538,(P1) IFC Quantities
0SBrn2lG97ff1y$6LkPVNP,BSH Stütze - rechteckig:KVH 60 x 60:5755285,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0M4SPQQZv7DgeM20N76a5d,BSH Stütze - rechteckig:KVH 60 x 60:5761466,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0M4SPQQZv7DgeM20N76a49,BSH Stütze - rechteckig:KVH 60 x 60:5761492,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
3jX1UmluT4eA9RdJlhTi1V,BSH Stütze - rechteckig:KVH 60 x 60:5835632,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
1$HUDoQtzBcfbT9Bahtaeh,BSH Stütze - rechteckig:KVH 60 x 60:7302435,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
1$HUDoQtzBcfbT9BahtafG,BSH Stütze - rechteckig:KVH 60 x 60:7302488,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
1$HUDoQtzBcfbT9BahtagO,BSH Stütze - rechteckig:KVH 60 x 60:7302544,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
1YsJyJAsbAYgippfqAZCX8,BSH Stütze - rechteckig:KVH 60 x 60:7308498,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
1YsJyJAsbAYgippfqAZCcJ,BSH Stütze - rechteckig:KVH 60 x 60:7308553,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
0jstoBq9r4ofZNfobR2jT_,BSH Stütze - rechteckig:KVH 60 x 60:7309652,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0jstoBq9r4ofZNfobR2jTV,BSH Stütze - rechteckig:KVH 60 x 60:7309685,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
0DdtpmI0H8lf1u0F8dHgU3,BSH Stütze - rechteckig:KVH 60 x 60:7348182,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,0.6,(P2) Bounding Box Length,0.036,(P2) Bounding Box Surface,0.0022,(P1) IFC Quantities
3WufgAEcfCofzbPg2WKrEq,BSH Stütze - rechteckig:KVH 60 x 60:7505434,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0Um_nMqU59uxHX1hNvA2b3,BSH Stütze - rechteckig:KVH 60 x 60:7508940,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0Um_nMqU59uxHX1hNvA2pK,BSH Stütze - rechteckig:KVH 60 x 60:7509595,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
0Um_nMqU59uxHX1hNvA2tw,BSH Stütze - rechteckig:KVH 60 x 60:7509877,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
3Ej_Fm7gT8JvZEoTJLjOaB,BSH Stütze - rechteckig:KVH 60 x 60:7516456,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
3Ej_Fm7gT8JvZEoTJLjObZ,BSH Stütze - rechteckig:KVH 60 x 60:7516480,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZHZ,BSH Stütze - rechteckig:KVH 60 x 60:7516788,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZIO,BSH Stütze - rechteckig:KVH 60 x 60:7516815,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZJt,BSH Stütze - rechteckig:KVH 60 x 60:7516896,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZKJ,BSH Stütze - rechteckig:KVH 60 x 60:7516932,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZKr,BSH Stütze - rechteckig:KVH 60 x 60:7516962,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZLA,BSH Stütze - rechteckig:KVH 60 x 60:7517021,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZLa,BSH Stütze - rechteckig:KVH 60 x 60:7517043,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZMO,BSH Stütze - rechteckig:KVH 60 x 60:7517071,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZMz,BSH Stütze - rechteckig:KVH 60 x 60:7517098,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZNV,BSH Stütze - rechteckig:KVH 60 x 60:7517128,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZND,BSH Stütze - rechteckig:KVH 60 x 60:7517146,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1cMR_uvLvFT9Wt8_C4AZNY,BSH Stütze - rechteckig:KVH 60 x 60:7517173,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1fdab6Lvv9qvCfD2EkMKl8,BSH Stütze - rechteckig:KVH 60 x 60:7517502,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1fdab6Lvv9qvCfD2EkMKWY,BSH Stütze - rechteckig:KVH 60 x 60:7517908,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,1.88,(P2) Bounding Box Length,0.1128,(P2) Bounding Box Surface,0.0068,(P1) IFC Quantities
1fdab6Lvv9qvCfD2EkMKai,BSH Stütze - rechteckig:KVH 60 x 60:7518170,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
3TxSSppgTEyu1XC0aAwBLY,BSH Stütze - rechteckig:KVH 60 x 60:7518269,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
10a1LVtQ99hAiuvboonYDr,BSH Stütze - rechteckig:KVH 60 x 60:7574287,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,0.6,(P2) Bounding Box Length,0.036,(P2) Bounding Box Surface,0.0022,(P1) IFC Quantities
10a1LVtQ99hAiuvboonYFA,BSH Stütze - rechteckig:KVH 60 x 60:7574448,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.21,(P2) Bounding Box Length,0.1326,(P2) Bounding Box Surface,0.008,(P1) IFC Quantities
10a1LVtQ99hAiuvboonYax,BSH Stütze - rechteckig:KVH 60 x 60:7575873,IfcColumn,BSH Stütze - rechteckig:KVH 60 x 60,2.81,(P2) Bounding Box Length,0.1686,(P2) Bounding Box Surface,0.0101,(P1) IFC Quantities
